Pi_M,Pi_omega,Pi_geom,Pi_bar,Pi_eta,Pi_rho,Pi_M_aci,Pi_R
0.09233333333333335,0.1298829675,1.5,0.06666666666666667,0.025,0.01047,0.1145223554231533,0.8062472431008528
0.09233333333333335,0.1298829675,1.5,0.06666666666666667,0.025,0.01047,0.1145223554231533,0.8062472431008528
0.08377777777777778,0.12677076,1.5,0.06666666666666667,0.0375,0.01047,0.10934712092152797,0.7661635447896263
0.08377777777777778,0.12677076,1.5,0.06666666666666667,0.0375,0.01047,0.10934712092152797,0.7661635447896263
0.08377777777777778,0.12677076,1.5,0.06666666666666667,0.0375,0.01047,0.10934712092152797,0.7661635447896263
0.07777777777777778,0.12365593500000001,1.5,0.06666666666666667,0.05,0.01047,0.10429162970540873,0.7457720048816545
0.07777777777777778,0.12365593500000001,1.5,0.06666666666666667,0.05,0.01047,0.10429162970540873,0.7457720048816545
0.07777777777777778,0.12365593500000001,1.5,0.06666666666666667,0.05,0.01047,0.10429162970540873,0.7457720048816545
0.06155555555555556,0.1174289025,1.5,0.06666666666666667,0.075,0.01047,0.09455344110851083,0.6510133828436085
0.06155555555555556,0.1174289025,1.5,0.06666666666666667,0.075,0.01047,0.09455344110851083,0.6510133828436085
0.06155555555555556,0.1174289025,1.5,0.06666666666666667,0.075,0.01047,0.09455344110851083,0.6510133828436085
0.04377777777777778,0.11120187,1.5,0.06666666666666667,0.1,0.01047,0.08531621593100741,0.5131237631680654
0.04377777777777778,0.11120187,1.5,0.06666666666666667,0.1,0.01047,0.08531621593100741,0.5131237631680654
0.04377777777777778,0.11120187,1.5,0.06666666666666667,0.1,0.01047,0.08531621593100741,0.5131237631680654
0.09811111111111111,0.1329977925,1.5,0.06666666666666667,0.0125,0.01047,0.1198199905517249,0.818820888395561
0.09811111111111111,0.1329977925,1.5,0.06666666666666667,0.0125,0.01047,0.1198199905517249,0.818820888395561
0.09811111111111111,0.1329977925,1.5,0.06666666666666667,0.0125,0.01047,0.1198199905517249,0.818820888395561
0.09166666666666666,0.1298829675,1.5,0.06666666666666667,0.025,0.01047,0.1145223554231533,0.8004259633672725
0.09166666666666666,0.1298829675,1.5,0.06666666666666667,0.025,0.01047,0.1145223554231533,0.8004259633672725
